Case_ID,Location_City,Location_State,Urban_Specific,Date_of_Marriage,Date_of_Separation,Date_of_Divorce,Duration_of_Marriage_Years,Divorce_Reason,Counseling_Attempted,Mediation_Used,Solution_Adopted,Process_Status,Legal_Process_Duration_Months,Children_Custody,Child_Support,Number_of_Children,Work_Life_Stress,Social_Media_Influence,Support_Network,COVID_Impact,Repeat_Marriage,Age_At_Marriage_Wife,Age_At_Marriage_Husband
1,Gurgaon,Haryana,TRUE,2013-09-28,2023-05-17,2023-03-19,9.5,Lack of Compatibility,No,No,Reconciliation,Settled,18,NA,Yes,0,Low,Yes,Friends,No,No,27,33
2,Pune,Maharashtra,TRUE,2014-08-23,2020-02-23,,10.9,Career Prioritization,Yes,No,Counseling,Ongoing,9,NA,Yes,1,Medium,Yes,Friends,No,No,30,32
3,Bengaluru,Karnataka,TRUE,2014-11-30,2021-12-12,2022-12-06,8.0,Career Prioritization,No,No,Reconciliation,Reconciled,14,NA,No,1,Medium,Yes,Friends,Yes,No,28,34
4,Ahmedabad,Gujarat,TRUE,2010-04-13,2020-07-14,,15.2,Career Prioritization,Yes,No,Counseling,Pending,12,NA,Yes,0,Low,Yes,None,Yes,No,24,27
5,Delhi,Delhi,TRUE,2019-11-06,,,5.7,Financial Stress,Yes,No,Family Intervention,Reconciled,16,Joint,No,1,High,No,None,No,No,23,27
6,Bengaluru,Karnataka,TRUE,2018-01-25,2022-04-03,2022-04-02,4.2,Lack of Communication,Yes,No,Family Intervention,Ongoing,8,Mother,Yes,1,Medium,No,None,No,No,30,36
7,Gurgaon,Haryana,TRUE,2015-08-24,2019-08-10,2020-10-24,5.2,Infidelity,Yes,Yes,Mediation,Reconciled,15,Mother,No,1,High,No,NGO,No,No,24,27
8,Chennai,Tamil Nadu,TRUE,2012-01-29,2015-03-12,2016-10-31,4.8,Lack of Compatibility,No,Yes,Family Intervention,Reconciled,21,NA,Yes,0,High,Yes,Friends,No,Yes,27,27
9,Hyderabad,Telangana,TRUE,2016-12-26,2022-04-25,,8.5,Domestic Violence,Yes,No,Counseling,Settled,22,NA,Yes,1,Medium,No,None,No,No,32,32
10,Kolkata,West Bengal,TRUE,2012-02-10,2018-06-06,2020-11-22,8.8,Career Prioritization,Yes,No,Counseling,Settled,16,NA,Yes,0,Low,Yes,NGO,No,No,32,37
11,Delhi,Delhi,TRUE,2018-09-04,2023-02-07,2024-01-30,5.4,Lack of Compatibility,No,No,Counseling,Reconciled,6,Joint,Yes,2,Low,Yes,NGO,No,No,27,31
12,Kolkata,West Bengal,TRUE,2013-02-11,2020-07-20,2020-07-22,7.4,Financial Stress,Yes,No,Counseling,Pending,21,NA,No,0,Medium,No,Friends,No,No,26,30
13,Delhi,Delhi,TRUE,2019-03-04,,,6.3,Domestic Violence,Yes,No,Divorce,Reconciled,17,NA,Yes,0,High,Yes,NGO,No,No,23,26
14,Pune,Maharashtra,TRUE,2010-01-12,2013-12-07,2013-02-22,3.1,Infidelity,No,Yes,Counseling,Pending,19,NA,No,0,Low,Yes,Parents,No,No,24,26
15,Bengaluru,Karnataka,TRUE,2016-06-01,2021-10-08,2022-07-23,6.1,Career Prioritization,Yes,Yes,Family Intervention,Settled,6,NA,No,1,High,Yes,Friends,Yes,No,29,34
16,Noida,Uttar Pradesh,TRUE,2010-02-16,2014-11-15,,15.4,Infidelity,Yes,Yes,Reconciliation,Pending,16,NA,Yes,2,Low,Yes,None,Yes,No,24,29
17,Hyderabad,Telangana,TRUE,2013-11-16,2021-08-13,2022-01-18,8.2,Work-Life Imbalance,Yes,Yes,Divorce,Reconciled,9,NA,Yes,1,High,Yes,Parents,No,No,28,31
18,Kolkata,West Bengal,TRUE,2011-05-31,2019-12-04,,14.1,In-Laws Conflict,No,Yes,Mediation,Ongoing,11,NA,No,1,High,Yes,Parents,No,No,28,31
19,Hyderabad,Telangana,TRUE,2017-05-11,2021-10-02,2023-01-01,5.6,Lack of Communication,Yes,No,Divorce,Settled,15,NA,No,0,Low,Yes,Friends,No,No,24,26
20,Chennai,Tamil Nadu,TRUE,2017-06-14,2023-08-01,2024-10-13,7.3,Domestic Violence,No,No,Counseling,Reconciled,9,NA,Yes,1,Medium,No,None,No,No,26,28
21,Gurgaon,Haryana,TRUE,2010-03-10,2020-08-24,2022-06-29,12.3,Lack of Compatibility,Yes,Yes,Divorce,Ongoing,5,Mother,No,1,Low,No,Parents,No,No,28,28
22,Noida,Uttar Pradesh,TRUE,2010-05-15,2017-08-02,2017-08-21,7.3,Work-Life Imbalance,No,Yes,Reconciliation,Settled,12,NA,No,0,Medium,Yes,Friends,No,No,25,27
23,Delhi,Delhi,TRUE,2014-10-31,2019-12-21,,10.7,Career Prioritization,Yes,No,Family Intervention,Ongoing,5,NA,Yes,2,Low,Yes,Friends,No,No,27,28
24,Ahmedabad,Gujarat,TRUE,2016-03-09,2023-03-21,2023-04-23,7.1,Career Prioritization,No,No,Family Intervention,Pending,5,Joint,Yes,1,Medium,No,Friends,Yes,No,29,34
25,Pune,Maharashtra,TRUE,2015-07-04,2024-01-26,,10.0,Unrealistic Expectations,Yes,No,Mediation,Ongoing,18,Joint,Yes,2,High,Yes,Friends,No,No,29,31
26,Chennai,Tamil Nadu,TRUE,2012-05-12,2018-09-30,2018-01-31,5.7,Unrealistic Expectations,Yes,No,Counseling,Ongoing,20,NA,Yes,2,Medium,No,Friends,No,No,29,29
27,Gurgaon,Haryana,TRUE,2011-09-05,2020-12-30,,13.8,Unrealistic Expectations,Yes,Yes,Counseling,Reconciled,17,NA,No,1,Medium,No,Friends,No,No,30,35
28,Hyderabad,Telangana,TRUE,2011-06-27,2015-08-03,,14.0,Lack of Compatibility,Yes,No,Counseling,Reconciled,11,NA,Yes,2,High,No,None,No,No,28,30
29,Bengaluru,Karnataka,TRUE,2010-01-05,2016-01-18,2016-08-19,6.6,Career Prioritization,Yes,No,Counseling,Reconciled,6,NA,Yes,1,High,Yes,Friends,No,No,23,29
30,Gurgaon,Haryana,TRUE,2012-01-24,2022-12-20,,13.4,Infidelity,Yes,Yes,Divorce,Ongoing,17,NA,Yes,0,Medium,Yes,Parents,No,Yes,23,24
31,Gurgaon,Haryana,TRUE,2016-06-26,2020-01-02,2020-11-21,4.4,Unrealistic Expectations,No,No,Mediation,Ongoing,14,Father,No,1,Low,No,Parents,Yes,No,28,31
32,Pune,Maharashtra,TRUE,2013-10-11,2022-07-17,2022-04-16,8.5,In-Laws Conflict,No,No,Family Intervention,Settled,8,Mother,No,1,Low,Yes,NGO,No,No,26,29
33,Delhi,Delhi,TRUE,2017-04-03,2022-08-06,2023-01-13,5.8,Career Prioritization,Yes,No,Reconciliation,Ongoing,9,NA,Yes,0,Low,Yes,NGO,No,No,31,36
34,Chennai,Tamil Nadu,TRUE,2015-01-07,2021-12-21,2021-05-03,6.3,Career Prioritization,Yes,Yes,Family Intervention,Reconciled,16,NA,Yes,1,Low,Yes,None,No,No,28,32
35,Hyderabad,Telangana,TRUE,2017-01-01,,,8.5,Domestic Violence,Yes,Yes,Mediation,Settled,12,NA,No,0,High,Yes,Friends,Yes,No,30,35
36,Noida,Uttar Pradesh,TRUE,2019-03-10,,,6.3,Domestic Violence,Yes,No,Mediation,Ongoing,8,NA,Yes,1,High,No,Parents,No,No,30,31
37,Chennai,Tamil Nadu,TRUE,2018-02-10,,,7.4,In-Laws Conflict,Yes,No,Family Intervention,Settled,14,NA,No,0,High,Yes,NGO,No,No,26,30
38,Delhi,Delhi,TRUE,2015-11-13,2025-10-08,,9.6,Lack of Compatibility,No,Yes,Reconciliation,Settled,11,Mother,No,1,High,Yes,Friends,No,No,23,27
39,Hyderabad,Telangana,TRUE,2010-04-17,2014-01-31,,15.2,Unrealistic Expectations,No,Yes,Divorce,Pending,15,NA,No,0,High,No,Friends,No,No,30,31
40,Noida,Uttar Pradesh,TRUE,2013-05-27,2022-06-15,2024-01-04,10.6,Lack of Communication,No,Yes,Divorce,Settled,22,NA,Yes,0,Medium,Yes,Friends,Yes,No,30,35
41,Delhi,Delhi,TRUE,2017-04-17,,,8.2,Lack of Compatibility,No,No,Reconciliation,Pending,11,NA,Yes,2,Medium,No,Friends,No,No,30,35
42,Delhi,Delhi,TRUE,2013-05-20,2021-09-18,,12.1,Work-Life Imbalance,Yes,Yes,Divorce,Settled,12,NA,Yes,1,Low,No,Parents,No,No,32,33
43,Ahmedabad,Gujarat,TRUE,2016-03-24,2021-10-07,2021-12-03,5.7,Lack of Compatibility,No,No,Divorce,Pending,11,NA,No,0,Low,No,Parents,Yes,No,30,31
44,Mumbai,Maharashtra,TRUE,2011-01-29,2017-11-02,2019-06-20,8.4,Career Prioritization,Yes,Yes,Family Intervention,Reconciled,12,Father,Yes,1,Medium,Yes,Friends,No,No,23,29
45,Hyderabad,Telangana,TRUE,2011-04-15,2021-02-20,,14.2,Lack of Communication,No,No,Family Intervention,Ongoing,5,NA,No,2,High,Yes,None,Yes,No,24,25
46,Noida,Uttar Pradesh,TRUE,2014-07-04,2021-06-11,2021-10-29,7.3,Lack of Compatibility,Yes,No,Mediation,Settled,15,NA,Yes,0,Medium,Yes,Parents,No,No,24,24
47,Pune,Maharashtra,TRUE,2016-07-20,2020-02-11,2022-02-25,5.6,Lack of Compatibility,Yes,Yes,Reconciliation,Pending,19,NA,No,0,Medium,Yes,Friends,No,No,24,24
48,Kolkata,West Bengal,TRUE,2012-01-15,2022-06-05,,13.5,In-Laws Conflict,No,No,Counseling,Settled,20,NA,No,1,High,No,NGO,No,No,31,33
49,Hyderabad,Telangana,TRUE,2010-01-01,2015-07-23,2016-06-12,6.4,Financial Stress,No,Yes,Reconciliation,Ongoing,11,Mother,Yes,1,Low,Yes,Friends,No,No,26,28
50,Pune,Maharashtra,TRUE,2019-09-20,2023-05-28,,5.8,Lack of Compatibility,No,No,Reconciliation,Settled,13,NA,No,1,Low,Yes,Parents,No,No,24,29
51,Pune,Maharashtra,TRUE,2012-12-27,2015-07-26,2015-05-12,2.4,Financial Stress,Yes,Yes,Reconciliation,Reconciled,13,Joint,Yes,1,Medium,Yes,None,Yes,No,26,32
52,Mumbai,Maharashtra,TRUE,2012-03-18,2017-03-21,2017-03-01,5.0,Career Prioritization,Yes,No,Counseling,Pending,11,Joint,No,2,Low,Yes,Friends,No,No,29,31
53,Ahmedabad,Gujarat,TRUE,2011-12-19,2019-03-27,,13.5,Financial Stress,Yes,No,Family Intervention,Ongoing,19,NA,Yes,2,High,Yes,Friends,No,No,25,27
54,Hyderabad,Telangana,TRUE,2017-11-25,,,7.6,In-Laws Conflict,No,Yes,Mediation,Pending,20,NA,Yes,0,High,No,NGO,No,No,30,32
55,Bengaluru,Karnataka,TRUE,2015-12-18,2021-12-30,2022-08-23,6.7,Lack of Compatibility,Yes,Yes,Family Intervention,Ongoing,11,NA,Yes,1,Low,No,None,No,No,28,32
56,Delhi,Delhi,TRUE,2015-05-11,2023-06-10,2023-09-20,8.4,Infidelity,No,No,Family Intervention,Reconciled,17,Joint,No,1,High,Yes,Friends,No,No,23,28
57,Chennai,Tamil Nadu,TRUE,2014-03-08,2017-10-29,2019-04-08,5.1,Unrealistic Expectations,Yes,No,Reconciliation,Settled,12,Mother,No,2,Low,Yes,Friends,Yes,No,32,38
58,Mumbai,Maharashtra,TRUE,2012-08-22,2020-04-27,2022-07-16,9.9,Lack of Compatibility,No,No,Reconciliation,Reconciled,13,Mother,No,1,Low,Yes,Parents,No,No,23,23
59,Bengaluru,Karnataka,TRUE,2017-04-08,2022-12-07,,8.2,Career Prioritization,No,No,Family Intervention,Settled,22,NA,Yes,1,Low,Yes,Parents,No,No,29,30
60,Bengaluru,Karnataka,TRUE,2013-07-16,2023-12-26,,12.0,Infidelity,No,No,Divorce,Reconciled,14,NA,No,2,High,No,None,No,No,24,28
61,Pune,Maharashtra,TRUE,2011-03-04,2017-05-01,2018-10-02,7.6,Lack of Communication,Yes,No,Divorce,Settled,15,Father,No,1,High,Yes,Friends,No,No,25,29
62,Kolkata,West Bengal,TRUE,2012-05-01,2017-10-27,,13.2,Infidelity,No,No,Family Intervention,Ongoing,6,NA,Yes,0,High,Yes,None,No,No,28,34
63,Hyderabad,Telangana,TRUE,2017-02-02,2024-12-05,,8.4,Infidelity,No,No,Divorce,Pending,5,NA,Yes,1,Medium,Yes,None,No,No,28,34
64,Chennai,Tamil Nadu,TRUE,2010-02-14,2018-08-09,2018-11-06,8.7,Infidelity,No,Yes,Reconciliation,Pending,17,NA,No,0,Medium,Yes,Parents,No,Yes,28,28
